,flushes,l0compactions,other_compactions,read,write,qps
190,1.0,0.0,1.0,296.98,483.12,393750.0
191,1.0,0.0,1.0,296.98,483.12,371824.0
192,0.0,0.0,2.0,589.28,581.58,347060.0
193,1.0,0.0,1.0,292.3,471.94000000000005,409953.0
194,0.0,1.0,1.0,558.87,551.87,354325.0
195,1.0,1.0,0.0,266.57,506.32,373232.0
196,1.0,1.0,0.0,266.57,506.32,389623.0
197,0.0,1.0,0.0,266.57,264.08,359278.0
198,1.0,1.0,1.0,543.3,712.54,351904.0
199,1.0,0.0,1.0,276.73,448.46,375922.0
200,0.0,0.0,2.0,579.12,569.8599999999999,350906.0
201,1.0,0.0,1.0,302.39,568.14,410324.0
202,0.0,0.0,2.0,609.04,601.05,364016.0
203,1.0,0.0,1.0,306.65,578.5799999999999,378744.0
204,1.0,0.0,1.0,306.65,578.5799999999999,382602.0
205,0.0,1.0,2.0,875.6999999999999,865.14,354709.0
206,1.0,1.0,0.0,268.38,471.04,407147.0
207,1.0,1.0,0.0,268.38,471.04,371420.0
208,0.0,1.0,0.0,268.38,266.22,370154.0
209,1.0,1.0,2.0,850.62,1114.0700000000002,391021.0
210,0.0,0.0,1.0,291.11,287.93,359635.0
211,1.0,0.0,1.0,291.11,483.3,397076.0
212,1.0,0.0,2.0,578.1700000000001,767.05,373237.0
213,0.0,0.0,1.0,287.06,283.75,349635.0
214,1.0,0.0,1.0,287.06,521.61,412903.0
215,0.0,0.0,2.0,589.9100000000001,581.44,364016.0
216,1.0,0.0,1.0,302.85,500.71000000000004,380954.0
217,1.0,1.0,1.0,565.3,760.6500000000001,380120.0
218,0.0,1.0,0.0,262.45,259.94,351699.0
219,1.0,1.0,0.0,262.45,498.71000000000004,405249.0
220,1.0,1.0,0.0,262.45,498.71000000000004,373357.0
221,0.0,1.0,1.0,541.3399999999999,533.03,368816.0
222,1.0,0.0,1.0,278.89,451.76,377160.0
223,0.0,0.0,1.0,278.89,273.09,362120.0
224,1.0,0.0,2.0,565.41,809.4499999999999,384667.0
225,1.0,0.0,1.0,286.52,536.36,374064.0
226,0.0,0.0,2.0,581.1099999999999,573.14,354088.0
227,1.0,0.0,1.0,294.59,478.65999999999997,364419.0
228,0.0,0.0,1.0,294.59,290.24,370387.0
229,0.0,0.0,2.0,575.91,567.0699999999999,367646.0
230,1.0,0.0,1.0,281.32,513.35,399337.0
231,0.0,0.0,1.0,281.32,276.83,361479.0
232,1.0,0.0,1.0,281.32,514.67,391787.0
233,1.0,1.0,1.0,539.73,770.5899999999999,378127.0
234,0.0,1.0,0.0,258.41,255.92,353917.0
235,1.0,1.0,0.0,258.41,416.74,366217.0
236,0.0,1.0,0.0,258.41,255.92,366094.0
237,1.0,1.0,1.0,523.1600000000001,673.98,353215.0
238,1.0,0.0,1.0,264.75,418.06,398617.0
239,0.0,0.0,2.0,525.54,517.3,357809.0
240,1.0,0.0,1.0,260.79,406.57000000000005,393427.0
241,1.0,0.0,2.0,524.03,664.95,371387.0
242,0.0,0.0,1.0,263.24,258.38,348066.0
243,1.0,0.0,1.0,263.24,412.15999999999997,411523.0
244,1.0,0.0,2.0,551.27,696.13,361000.0
245,1.0,0.0,1.0,288.03,546.58,382754.0
246,1.0,0.0,1.0,288.03,546.58,380943.0
247,0.0,1.0,1.0,547.44,540.5,349661.0
248,1.0,1.0,0.0,259.41,488.79999999999995,398974.0
249,0.0,1.0,0.0,259.41,256.53,370089.0
250,0.0,1.0,0.0,259.41,256.53,367336.0
251,1.0,1.0,1.0,552.25,731.71,383330.0
252,0.0,0.0,1.0,292.84,287.18,358414.0
253,1.0,0.0,2.0,574.8699999999999,807.78,390004.0
254,1.0,0.0,1.0,282.03,520.6,369440.0
255,0.0,0.0,2.0,590.8,581.07,349777.0
256,1.0,0.0,1.0,308.77,474.18000000000006,406547.0
257,1.0,0.0,1.0,308.77,474.18000000000006,362552.0
258,1.0,0.0,2.0,609.17,777.84,372182.0
