,flushes,l0compactions,other_compactions,read,write,qps
269,0.0,0.0,0.0,0.0,0.0,36629
270,0.0,0.0,0.0,0.0,0.0,44074
271,0.0,0.0,0.0,0.0,0.0,46116
272,0.0,0.0,0.0,0.0,0.0,50193
273,0.0,0.0,0.0,0.0,0.0,67089
274,0.0,0.0,0.0,0.0,0.0,81611
275,0.0,0.0,0.0,0.0,0.0,74414
276,0.0,0.0,0.0,0.0,0.0,82516
277,1.0,0.0,0.0,0.0,259.61,70789
278,0.0,0.0,0.0,0.0,0.0,43443
279,0.0,0.0,0.0,0.0,0.0,51187
280,0.0,0.0,0.0,0.0,0.0,61404
281,0.0,0.0,0.0,0.0,0.0,56537
282,0.0,0.0,0.0,0.0,0.0,60897
283,0.0,0.0,0.0,0.0,0.0,62715
284,0.0,0.0,0.0,0.0,0.0,60981
285,0.0,0.0,0.0,0.0,0.0,53203
286,0.0,0.0,0.0,0.0,0.0,54883
287,0.0,0.0,0.0,0.0,0.0,60142
288,0.0,0.0,0.0,0.0,0.0,57530
289,1.0,0.0,0.0,0.0,277.64,60885
290,0.0,0.0,0.0,0.0,0.0,37071
291,0.0,0.0,0.0,0.0,0.0,34052
292,0.0,0.0,0.0,0.0,0.0,35520
293,0.0,0.0,0.0,0.0,0.0,42264
294,0.0,0.0,0.0,0.0,0.0,45236
295,0.0,0.0,0.0,0.0,0.0,38151
296,0.0,0.0,0.0,0.0,0.0,45567
297,0.0,0.0,0.0,0.0,0.0,45178
298,0.0,0.0,0.0,0.0,0.0,41228
299,0.0,0.0,0.0,0.0,0.0,43563
300,0.0,0.0,0.0,0.0,0.0,40941
301,0.0,0.0,0.0,0.0,0.0,50169
302,0.0,0.0,0.0,0.0,0.0,47104
303,0.0,0.0,0.0,0.0,0.0,47600
304,0.0,0.0,0.0,0.0,0.0,50904
305,1.0,0.0,0.0,0.0,256.72,41902
306,0.0,0.0,0.0,0.0,0.0,26609
307,0.0,0.0,0.0,0.0,0.0,31446
308,0.0,0.0,0.0,0.0,0.0,41094
309,0.0,0.0,0.0,0.0,0.0,28810
310,0.0,0.0,0.0,0.0,0.0,31011
311,0.0,0.0,0.0,0.0,0.0,30639
312,0.0,0.0,0.0,0.0,0.0,32885
313,0.0,0.0,0.0,0.0,0.0,41337
314,0.0,0.0,0.0,0.0,0.0,39172
315,0.0,0.0,0.0,0.0,0.0,33551
316,0.0,0.0,0.0,0.0,0.0,26450
317,0.0,0.0,0.0,0.0,0.0,35815
318,0.0,0.0,0.0,0.0,0.0,36946
319,0.0,0.0,0.0,0.0,0.0,37375
320,0.0,0.0,0.0,0.0,0.0,37548
321,0.0,0.0,0.0,0.0,0.0,34345
322,0.0,0.0,0.0,0.0,0.0,35696
323,0.0,0.0,0.0,0.0,0.0,30606
324,0.0,0.0,0.0,0.0,0.0,33064
325,1.0,0.0,0.0,0.0,242.96,35033
326,1.0,1.0,0.0,116.06,354.17,23644
327,0.0,1.0,0.0,116.06,111.21,26928
328,0.0,1.0,0.0,116.06,111.21,29671
329,0.0,1.0,2.0,429.52,378.0,36932
330,0.0,0.0,1.0,148.25,128.47,41117
331,0.0,0.0,1.0,148.25,128.47,39194
332,0.0,0.0,0.0,0.0,0.0,55233
333,0.0,0.0,0.0,0.0,0.0,64536
334,0.0,0.0,0.0,0.0,0.0,72217
335,0.0,0.0,0.0,0.0,0.0,83612
